 , ,QR LinkInstance data csv
Course:, ,ECE3246 - SECURITY AND CRYPTOGRAPHY (FOE_CYB, TRIM : 1820)
CourseID:, ,368
CoordID:, ,1542024588

TTID,Validity,Result status
238,False,You are not register to this class.
239,False,You are not register to this class.
240,False,You are not register to this class.
241,False,You are not register to this class.
242,False,You are not register to this class.
243,False,You are not register to this class.
244,False,You are not register to this class.
245,False,You are not register to this class.
246,False,You are not register to this class.
247,False,You are not register to this class.
248,False,You are not register to this class.
249,False,You are not register to this class.
250,False,You are not register to this class.
251,False,You are not register to this class.
252,False,You are not register to this class.
253,False,You are not register to this class.
254,False,You are not register to this class.
255,False,You are not register to this class.
256,False,You are not register to this class.
257,False,You are not register to this class.
258,False,You are not register to this class.
259,False,You are not register to this class.
260,False,You are not register to this class.
261,False,You are not register to this class.
262,False,You are not register to this class.
263,False,You are not register to this class.
264,False,You are not register to this class.
265,False,You are not register to this class.
266,False,You are not register to this class.
267,False,You are not register to this class.
268,False,You are not register to this class.
269,False,You are not register to this class.
270,False,You are not register to this class.
271,False,You are not register to this class.
272,False,You are not register to this class.
273,False,You are not register to this class.
274,False,You are not register to this class.
275,False,You are not register to this class.
276,False,You are not register to this class.
277,False,You are not register to this class.
278,False,You are not register to this class.
279,False,You are not register to this class.
280,False,You are not register to this class.
281,False,You are not register to this class.
282,False,You are not register to this class.
283,False,You are not register to this class.
284,False,You are not register to this class.
285,False,You are not register to this class.
286,False,You are not register to this class.
287,False,You are not register to this class.
288,False,You are not register to this class.
289,False,You are not register to this class.
290,False,You are not register to this class.
291,False,You are not register to this class.
292,False,You are not register to this class.
293,False,You are not register to this class.
294,False,You are not register to this class.
295,False,You are not register to this class.
296,False,You are not register to this class.
297,False,You are not register to this class.
298,False,You are not register to this class.
299,False,You are not register to this class.
300,False,You are not register to this class.
301,False,You are not register to this class.
302,False,You are not register to this class.
303,False,You are not register to this class.
304,False,You are not register to this class.
305,False,You are not register to this class.
306,False,You are not register to this class.
307,False,You are not register to this class.
308,False,You are not register to this class.
309,False,You are not register to this class.
310,False,You are not register to this class.
311,False,You are not register to this class.
312,False,You are not register to this class.
313,False,You are not register to this class.
314,False,You are not register to this class.
315,True,Attendance already recorded for this student ID.
316,False,You are not register to this class.
317,False,You are not register to this class.
318,False,You are not register to this class.
319,False,You are not register to this class.
320,False,You are not register to this class.
321,False,You are not register to this class.
322,False,You are not register to this class.
323,False,You are not register to this class.
324,False,You are not register to this class.
325,False,You are not register to this class.
326,False,You are not register to this class.
327,False,You are not register to this class.
328,False,You are not register to this class.
329,False,You are not register to this class.
330,False,You are not register to this class.
331,False,You are not register to this class.
332,False,You are not register to this class.
333,False,You are not register to this class.
334,True,Attendance already recorded for this student ID.
335,False,You are not register to this class.
336,False,You are not register to this class.
337,False,You are not register to this class.
338,False,You are not register to this class.
339,False,You are not register to this class.
340,False,You are not register to this class.
341,False,You are not register to this class.
342,False,You are not register to this class.
343,False,You are not register to this class.
344,False,You are not register to this class.
345,False,You are not register to this class.
346,False,You are not register to this class.
347,False,You are not register to this class.
348,False,You are not register to this class.
349,False,You are not register to this class.
350,False,You are not register to this class.
351,False,You are not register to this class.
352,False,You are not register to this class.
353,False,You are not register to this class.
354,False,You are not register to this class.
355,False,You are not register to this class.
356,False,You are not register to this class.
357,False,You are not register to this class.
358,False,You are not register to this class.
359,False,You are not register to this class.
360,False,You are not register to this class.
361,False,You are not register to this class.
362,False,You are not register to this class.
363,False,You are not register to this class.
364,False,You are not register to this class.
365,False,You are not register to this class.
366,False,You are not register to this class.
367,False,You are not register to this class.
368,False,You are not register to this class.
369,False,You are not register to this class.
370,False,You are not register to this class.
371,False,You are not register to this class.
372,False,You are not register to this class.
373,False,You are not register to this class.
374,False,You are not register to this class.
375,False,You are not register to this class.
376,False,You are not register to this class.
377,False,You are not register to this class.
378,False,You are not register to this class.
379,False,You are not register to this class.
380,False,You are not register to this class.
381,False,You are not register to this class.
382,False,You are not register to this class.
383,False,You are not register to this class.
384,False,You are not register to this class.
385,False,You are not register to this class.
386,False,You are not register to this class.
387,False,You are not register to this class.
388,False,You are not register to this class.
389,False,You are not register to this class.
390,False,You are not register to this class.
391,False,You are not register to this class.
392,False,You are not register to this class.
393,False,You are not register to this class.
394,False,You are not register to this class.
395,False,You are not register to this class.
396,False,You are not register to this class.
397,False,You are not register to this class.
398,False,You are not register to this class.
399,False,You are not register to this class.
400,False,You are not register to this class.
401,False,You are not register to this class.
402,False,You are not register to this class.
403,False,You are not register to this class.
404,False,You are not register to this class.
405,False,You are not register to this class.
406,False,You are not register to this class.
407,False,You are not register to this class.
408,False,You are not register to this class.
409,False,You are not register to this class.
410,False,You are not register to this class.
411,False,You are not register to this class.
412,False,You are not register to this class.
413,False,You are not register to this class.
414,False,You are not register to this class.
415,False,You are not register to this class.
416,False,You are not register to this class.
417,False,You are not register to this class.
418,False,You are not register to this class.
419,False,You are not register to this class.
420,False,You are not register to this class.
421,False,You are not register to this class.
422,False,You are not register to this class.
423,False,You are not register to this class.
424,False,You are not register to this class.
425,False,You are not register to this class.
426,False,You are not register to this class.
427,False,You are not register to this class.
428,False,You are not register to this class.
429,False,You are not register to this class.
430,False,You are not register to this class.
431,False,You are not register to this class.
432,False,You are not register to this class.
433,False,You are not register to this class.
434,False,You are not register to this class.
435,False,You are not register to this class.
436,False,You are not register to this class.
437,False,You are not register to this class.
438,False,You are not register to this class.
439,False,You are not register to this class.
440,False,You are not register to this class.
441,False,You are not register to this class.
442,False,You are not register to this class.
443,False,You are not register to this class.
444,False,You are not register to this class.
445,False,You are not register to this class.
446,False,You are not register to this class.
447,False,You are not register to this class.
448,False,You are not register to this class.
449,False,You are not register to this class.
450,False,You are not register to this class.
451,False,You are not register to this class.
452,False,You are not register to this class.
453,False,You are not register to this class.
454,False,You are not register to this class.
455,False,You are not register to this class.
456,False,You are not register to this class.
457,False,You are not register to this class.
458,False,You are not register to this class.
459,False,You are not register to this class.
